Landsting,Län,LNKOD,2015
Region Kronoberg,Kronoberg,07,48
Region Örebro län,Örebro,18,47
Region Skåne,Skåne,12,46
Uppsala läns landsting,Uppsala,03,45
Landstinget Blekinge,Blekinge,10,42
Landstinget Västmanland,Västmanland,19,42
Region Gävleborg,Gävleborg,21,40
Västra Götalandsregionen,Västra Götaland,14,38
Region Jönköping,Jönköping,06,36
Stockholms läns landsting,Stockholm,01,36
Landstinget Västernorrland,Västernorrland,22,34
Landstinget i Värmland,Värmland,17,34
Landstinget i Kalmar Län,Kalmar,08,33
Region Östergötland,Östergötland,05,32
Landstinget i Sörmland,Södermanland,04,30
Landstinget Dalarna,Dalarna,20,30
Region Halland,Halland,13,27
Region Gotland,Gotland,09,26
Region Jämtland Härjedalen,Jämtland,23,25
Norrbottens läns landsting,Norrbotten,25,25
Västerbottens läns landsting,Västerbotten,24,12